,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160209:1056,387.5,697.5,21.07,3.15,3.72,0,,,,,,,,,,
20160209:1156,788.64,1419.552,23.33,4.01,4.57,0,,,,,,,,,,
20160209:1256,657,1182.6,23.07,4.86,5.41,0,,,,,,,,,,
20160209:1356,511.17,920.106,20.33,5.07,6.15,0,,,,,,,,,,
20160209:1456,485.38,873.684,15.41,5.29,6.89,0,,,,,,,,,,
20160209:1556,106.09,190.962,8.77,5.51,7.63,0,,,,,,,,,,
20160209:1656,3.05,5.49,0.87,4.68,7.16,0,,,,,,,,,,
20160209:1756,0,0,0,3.85,6.7,0,,,,,,,,,,
20160209:1856,0,0,0,3.02,6.23,0,,,,,,,,,,
20160209:1956,0,0,0,2.67,6.57,0,,,,,,,,,,
20160209:2056,0,0,0,2.32,6.91,0,,,,,,,,,,
20160209:2156,0,0,0,1.97,7.24,0,,,,,,,,,,
20160209:2256,0,0,0,2.44,7.58,0,,,,,,,,,,
20160209:2356,0,0,0,2.9,7.92,0,,,,,,,,,,
20160210:0056,0,0,0,3.37,8.26,0,,,,,,,,,,
20160210:0156,0,0,0,3.19,8,0,,,,,,,,,,
20160210:0256,0,0,0,3.02,7.73,0,,,,,,,,,,
20160210:0356,0,0,0,2.84,7.46,0,,,,,,,,,,
20160210:0456,0,0,0,2.85,7.14,0,,,,,,,,,,
20160210:0556,0,0,0,2.86,6.82,0,,,,,,,,,,
20160210:0656,0,0,0,2.87,6.5,0,,,,,,,,,,
20160210:0756,36.93,66.474,2.8,3.04,6.12,0,,,,,,,,,,
20160210:0856,117.58,211.644,10.5,3.2,5.74,0,,,,,,,,,,
20160210:0956,62.58,112.644,16.86,3.36,5.37,0,,,,,,,,,,
20160210:1056,197.92,356.256,21.38,4.04,5.52,0,,,,,,,,,,
20160210:1156,200.2,360.36,23.65,4.72,5.67,0,,,,,,,,,,
20160210:1256,177.38,319.284,23.39,5.4,5.82,0,,,,,,,,,,
20160210:1356,214.78,386.604,20.64,5.74,5.49,0,,,,,,,,,,
20160210:1456,407.45,733.41,15.71,6.09,5.15,0,,,,,,,,,,
20160210:1556,127.29,229.122,9.05,6.43,4.81,0,,,,,,,,,,
20160210:1656,4.28,7.704,1.14,5.6,4.29,0,,,,,,,,,,
20160210:1756,0,0,0,4.77,3.76,0,,,,,,,,,,
20160210:1856,0,0,0,3.94,3.23,0,,,,,,,,,,
20160210:1956,0,0,0,3.44,3.16,0,,,,,,,,,,
20160210:2056,0,0,0,2.93,3.1,0,,,,,,,,,,
20160210:2156,0,0,0,2.43,3.03,0,,,,,,,,,,
20160210:2256,0,0,0,2.23,2.91,0,,,,,,,,,,
20160210:2356,0,0,0,2.03,2.79,0,,,,,,,,,,
20160211:0056,0,0,0,1.84,2.66,0,,,,,,,,,,
20160211:0156,0,0,0,1.48,2.37,0,,,,,,,,,,
20160211:0256,0,0,0,1.13,2.07,0,,,,,,,,,,
20160211:0356,0,0,0,0.77,1.78,0,,,,,,,,,,
20160211:0456,0,0,0,0.34,1.7,0,,,,,,,,,,
20160211:0556,0,0,0,-0.09,1.61,0,,,,,,,,,,
20160211:0656,0,0,0,-0.53,1.53,0,,,,,,,,,,
20160211:0756,77.56,139.608,3.07,-0.04,1.96,0,,,,,,,,,,
20160211:0856,362.18,651.924,10.78,0.45,2.4,0,,,,,,,,,,
20160211:0956,582.23,1048.014,17.15,0.93,2.83,0,,,,,,,,,,
20160211:1056,727.46,1309.428,21.7,2.28,2.9,0,,,,,,,,,,
20160211:1156,793.15,1427.67,23.97,3.64,2.97,0,,,,,,,,,,
