,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160609:0656,159.6,287.28,25.64,12.24,2.74,0,,,,,,,,,,
20160609:0756,386.54,695.772,34.9,13.23,2.6,0,,,,,,,,,,
20160609:0856,732.76,1318.968,43.9,14.22,2.45,0,,,,,,,,,,
20160609:0956,888.53,1599.354,52.03,15.21,2.3,0,,,,,,,,,,
20160609:1056,987.53,1777.554,58.26,16.68,2.21,0,,,,,,,,,,
20160609:1156,963.97,1735.146,61.09,18.16,2.12,0,,,,,,,,,,
20160609:1256,785.28,1413.504,59.49,19.63,2.03,0,,,,,,,,,,
20160609:1356,607.22,1092.996,54.08,20.15,2.01,0,,,,,,,,,,
20160609:1456,531.91,957.438,46.38,20.68,2,0,,,,,,,,,,
20160609:1556,352.22,633.996,37.55,21.2,1.99,0,,,,,,,,,,
20160609:1656,251.08,451.944,28.31,20.96,2.11,0,,,,,,,,,,
20160609:1756,131.98,237.564,19.13,20.72,2.23,0,,,,,,,,,,
20160609:1856,59.16,106.488,10.35,20.47,2.36,0,,,,,,,,,,
20160609:1956,9.32,16.776,2.3,18.93,2.27,0,,,,,,,,,,
20160609:2056,0,0,0,17.38,2.17,0,,,,,,,,,,
20160609:2156,0,0,0,15.83,2.08,0,,,,,,,,,,
20160609:2256,0,0,0,15.24,1.97,0,,,,,,,,,,
20160609:2356,0,0,0,14.65,1.86,0,,,,,,,,,,
20160610:0056,0,0,0,14.06,1.75,0,,,,,,,,,,
20160610:0156,0,0,0,13.75,1.6,0,,,,,,,,,,
20160610:0256,0,0,0,13.43,1.44,0,,,,,,,,,,
20160610:0356,0,0,0,13.12,1.28,0,,,,,,,,,,
20160610:0456,6.31,11.358,7.97,13.25,1.53,0,,,,,,,,,,
20160610:0556,60.81,109.458,16.57,13.39,1.78,0,,,,,,,,,,
20160610:0656,109.81,197.658,25.67,13.52,2.03,0,,,,,,,,,,
20160610:0756,269.74,485.532,34.93,14.48,2.01,0,,,,,,,,,,
20160610:0856,486.02,874.836,43.94,15.45,1.99,0,,,,,,,,,,
20160610:0956,539.9,971.82,52.08,16.41,1.97,0,,,,,,,,,,
20160610:1056,493.57,888.426,58.32,17.33,2,0,,,,,,,,,,
20160610:1156,361.5,650.7,61.17,18.24,2.04,0,,,,,,,,,,
20160610:1256,517.65,931.77,59.58,19.16,2.07,0,,,,,,,,,,
20160610:1356,403.36,726.048,54.18,19.35,2.11,0,,,,,,,,,,
20160610:1456,378.82,681.876,46.47,19.55,2.15,0,,,,,,,,,,
20160610:1556,173.92,313.056,37.63,19.74,2.19,0,,,,,,,,,,
20160610:1656,161.45,290.61,28.4,19.31,1.87,0,,,,,,,,,,
20160610:1756,70.49,126.882,19.22,18.89,1.54,0,,,,,,,,,,
20160610:1856,49.71,89.478,10.44,18.46,1.21,0,,,,,,,,,,
20160610:1956,11.14,20.052,2.39,17.68,1.18,0,,,,,,,,,,
20160610:2056,0,0,0,16.9,1.14,0,,,,,,,,,,
20160610:2156,0,0,0,16.12,1.1,0,,,,,,,,,,
20160610:2256,0,0,0,15.45,1.21,0,,,,,,,,,,
20160610:2356,0,0,0,14.79,1.31,0,,,,,,,,,,
20160611:0056,0,0,0,14.12,1.42,0,,,,,,,,,,
20160611:0156,0,0,0,13.83,1.52,0,,,,,,,,,,
20160611:0256,0,0,0,13.55,1.62,0,,,,,,,,,,
20160611:0356,0,0,0,13.26,1.72,0,,,,,,,,,,
20160611:0456,37.56,67.608,8,13.58,1.57,0,,,,,,,,,,
20160611:0556,79.94,143.892,16.6,13.91,1.42,0,,,,,,,,,,
20160611:0656,175.75,316.35,25.69,14.23,1.27,0,,,,,,,,,,
20160611:0756,241.91,435.438,34.95,15.18,1.01,0,,,,,,,,,,
20160611:0856,381.85,687.33,43.97,16.13,0.75,0,,,,,,,,,,
20160611:0956,278.93,502.074,52.11,17.08,0.5,0,,,,,,,,,,
20160611:1056,219.17,394.506,58.37,17.57,0.93,0,,,,,,,,,,
20160611:1156,303.74,546.732,61.24,18.07,1.36,0,,,,,,,,,,
20160611:1256,234.16,421.488,59.66,18.56,1.79,0,,,,,,,,,,
20160611:1356,184.15,331.47,54.26,18.23,2.15,0,,,,,,,,,,
20160611:1456,231.66,416.988,46.55,17.89,2.51,0,,,,,,,,,,
20160611:1556,228.22,410.796,37.72,17.56,2.87,0,,,,,,,,,,
20160611:1656,83,149.4,28.48,17.41,2.8,0,,,,,,,,,,
20160611:1756,95.95,172.71,19.3,17.27,2.72,0,,,,,,,,,,
20160611:1856,59.67,107.406,10.52,17.12,2.65,0,,,,,,,,,,
20160611:1956,1.06,1.908,2.48,16.32,2.29,0,,,,,,,,,,
20160611:2056,0,0,0,15.52,1.92,0,,,,,,,,,,
20160611:2156,0,0,0,14.72,1.56,0,,,,,,,,,,
20160611:2256,0,0,0,14.53,1.87,0,,,,,,,,,,
20160611:2356,0,0,0,14.34,2.18,0,,,,,,,,,,
20160612:0056,0,0,0,14.15,2.5,0,,,,,,,,,,
20160612:0156,0,0,0,13.83,2.66,0,,,,,,,,,,
20160612:0256,0,0,0,13.51,2.83,0,,,,,,,,,,
20160612:0356,0,0,0,13.19,2.99,0,,,,,,,,,,
20160612:0456,3.3,5.94,8.03,13.17,3.16,0,,,,,,,,,,
20160612:0556,18.83,33.894,16.62,13.14,3.33,0,,,,,,,,,,
20160612:0656,87.87,158.166,25.71,13.12,3.5,0,,,,,,,,,,
20160612:0756,123.3,221.94,34.97,13.64,3.65,0,,,,,,,,,,
20160612:0856,158.59,285.462,43.99,14.17,3.79,0,,,,,,,,,,
