,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160412:2356,0,0,0,3.65,2.37,0,,,,,,,,,,
20160413:0056,0,0,0,2.8,2.41,0,,,,,,,,,,
20160413:0156,0,0,0,2.85,2.39,0,,,,,,,,,,
20160413:0256,0,0,0,2.9,2.36,0,,,,,,,,,,
20160413:0356,0,0,0,2.95,2.33,0,,,,,,,,,,
20160413:0456,0,0,0,2.84,1.76,0,,,,,,,,,,
20160413:0556,38.62,69.516,5.5,2.74,1.18,0,,,,,,,,,,
20160413:0656,192.01,345.618,14.76,2.63,0.61,0,,,,,,,,,,
20160413:0756,472.92,851.256,23.87,5.35,0.45,0,,,,,,,,,,
20160413:0856,661.29,1190.322,32.38,8.08,0.29,0,,,,,,,,,,
20160413:0956,795.06,1431.108,39.66,10.8,0.12,0,,,,,,,,,,
20160413:1056,1012.58,1822.644,44.9,11.84,0.38,0,,,,,,,,,,
20160413:1156,1049.92,1889.856,47.22,12.89,0.63,0,,,,,,,,,,
20160413:1256,1012.94,1823.292,46.08,13.93,0.88,0,,,,,,,,,,
20160413:1356,842.28,1516.104,41.76,13.93,1.5,0,,,,,,,,,,
20160413:1456,370.8,667.44,35.09,13.92,2.11,0,,,,,,,,,,
20160413:1556,205.79,370.422,26.93,13.91,2.73,0,,,,,,,,,,
20160413:1656,238.05,428.49,17.97,13.14,2.29,0,,,,,,,,,,
20160413:1756,55.22,99.396,8.72,12.36,1.85,0,,,,,,,,,,
20160413:1856,0,0,0,11.58,1.41,0,,,,,,,,,,
20160413:1956,0,0,0,10.65,1.42,0,,,,,,,,,,
20160413:2056,0,0,0,9.72,1.43,0,,,,,,,,,,
20160413:2156,0,0,0,8.78,1.45,0,,,,,,,,,,
20160413:2256,0,0,0,7.86,1.4,0,,,,,,,,,,
20160413:2356,0,0,0,6.95,1.35,0,,,,,,,,,,
20160414:0056,0,0,0,6.03,1.3,0,,,,,,,,,,
20160414:0156,0,0,0,6,1.22,0,,,,,,,,,,
20160414:0256,0,0,0,5.97,1.15,0,,,,,,,,,,
20160414:0356,0,0,0,5.94,1.08,0,,,,,,,,,,
20160414:0456,0,0,0,5.35,1.09,0,,,,,,,,,,
20160414:0556,16.33,29.394,5.83,4.77,1.11,0,,,,,,,,,,
20160414:0656,87.32,157.176,15.08,4.18,1.13,0,,,,,,,,,,
20160414:0756,125.53,225.954,24.2,6.19,1.23,0,,,,,,,,,,
20160414:0856,394.16,709.488,32.72,8.19,1.32,0,,,,,,,,,,
