,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160813:1356,593.9,1069.02,47.36,20.44,5.56,0,,,,,,,,,,
20160813:1456,525.44,945.792,40.43,21.01,5.51,0,,,,,,,,,,
20160813:1556,399.65,719.37,32.06,21.59,5.46,0,,,,,,,,,,
20160813:1656,240.65,433.17,22.99,20.94,5.09,0,,,,,,,,,,
20160813:1756,89.29,160.722,13.73,20.3,4.72,0,,,,,,,,,,
20160813:1856,1.78,3.204,4.67,19.65,4.34,0,,,,,,,,,,
20160813:1956,0,0,0,18.37,3.67,0,,,,,,,,,,
20160813:2056,0,0,0,17.08,2.99,0,,,,,,,,,,
20160813:2156,0,0,0,15.8,2.32,0,,,,,,,,,,
20160813:2256,0,0,0,15.11,2.22,0,,,,,,,,,,
20160813:2356,0,0,0,14.42,2.12,0,,,,,,,,,,
20160814:0056,0,0,0,13.73,2.03,0,,,,,,,,,,
20160814:0156,0,0,0,13.23,2.02,0,,,,,,,,,,
20160814:0256,0,0,0,12.72,2.02,0,,,,,,,,,,
20160814:0356,0,0,0,12.22,2.01,0,,,,,,,,,,
20160814:0456,0,0,0,12.16,1.84,0,,,,,,,,,,
20160814:0556,59.67,107.406,9.13,12.11,1.66,0,,,,,,,,,,
20160814:0656,168.15,302.67,18.34,12.05,1.49,0,,,,,,,,,,
20160814:0756,218.09,392.562,27.55,13.88,1.63,0,,,,,,,,,,
20160814:0856,242.51,436.518,36.32,15.72,1.77,0,,,,,,,,,,
20160814:0956,232.16,417.888,44.03,17.55,1.92,0,,,,,,,,,,
20160814:1056,253.78,456.804,49.79,18.45,2.01,0,,,,,,,,,,
20160814:1156,364.71,656.478,52.53,19.36,2.1,0,,,,,,,,,,
20160814:1256,329.81,593.658,51.52,20.26,2.19,0,,,,,,,,,,
20160814:1356,346.46,623.628,47.06,20.52,2.18,0,,,,,,,,,,
20160814:1456,455.76,820.368,40.14,20.78,2.17,0,,,,,,,,,,
20160814:1556,391.77,705.186,31.79,21.04,2.17,0,,,,,,,,,,
20160814:1656,177,318.6,22.72,20.82,1.97,0,,,,,,,,,,
20160814:1756,71.16,128.088,13.46,20.59,1.78,0,,,,,,,,,,
20160814:1856,20.03,36.054,4.4,20.37,1.59,0,,,,,,,,,,
20160814:1956,0,0,0,18.68,1.92,0,,,,,,,,,,
20160814:2056,0,0,0,16.98,2.25,0,,,,,,,,,,
20160814:2156,0,0,0,15.29,2.58,0,,,,,,,,,,
20160814:2256,0,0,0,14.75,2.39,0,,,,,,,,,,
20160814:2356,0,0,0,14.22,2.2,0,,,,,,,,,,
20160815:0056,0,0,0,13.68,2.01,0,,,,,,,,,,
20160815:0156,0,0,0,13.02,2.01,0,,,,,,,,,,
20160815:0256,0,0,0,12.36,2.01,0,,,,,,,,,,
20160815:0356,0,0,0,11.7,2.01,0,,,,,,,,,,
20160815:0456,0,0,0,11.86,2.16,0,,,,,,,,,,
20160815:0556,58.81,105.858,8.92,12.03,2.31,0,,,,,,,,,,
20160815:0656,256.29,461.322,18.13,12.2,2.46,0,,,,,,,,,,
20160815:0756,485.23,873.414,27.34,14.07,2.79,0,,,,,,,,,,
20160815:0856,699.51,1259.118,36.09,15.95,3.12,0,,,,,,,,,,
20160815:0956,741.93,1335.474,43.78,17.82,3.45,0,,,,,,,,,,
20160815:1056,984.96,1772.928,49.51,18.82,3.6,0,,,,,,,,,,
20160815:1156,1026.12,1847.016,52.22,19.83,3.76,0,,,,,,,,,,
20160815:1256,992.35,1786.23,51.21,20.83,3.92,0,,,,,,,,,,
20160815:1356,887.45,1597.41,46.76,21.28,3.91,0,,,,,,,,,,
20160815:1456,720.98,1297.764,39.86,21.74,3.9,0,,,,,,,,,,
20160815:1556,511.2,920.16,31.51,22.2,3.89,0,,,,,,,,,,
20160815:1656,284.55,512.19,22.45,21.6,3.69,0,,,,,,,,,,
20160815:1756,79.11,142.398,13.19,21.01,3.49,0,,,,,,,,,,
20160815:1856,18.8,33.84,4.13,20.41,3.28,0,,,,,,,,,,
20160815:1956,0,0,0,18.77,3.27,0,,,,,,,,,,
20160815:2056,0,0,0,17.13,3.26,0,,,,,,,,,,
