,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20161215:1056,6.87,12.366,13.61,8.16,5.23,0,,,,,,,,,,
20161215:1156,8.55,15.39,14.94,8.68,5.73,0,,,,,,,,,,
20161215:1256,83.01,149.418,13.98,9.2,6.23,0,,,,,,,,,,
20161215:1356,36.02,64.836,10.83,9.17,5.8,0,,,,,,,,,,
20161215:1456,47.71,85.878,5.75,9.14,5.36,0,,,,,,,,,,
20161215:1556,0,0,0,9.12,4.92,0,,,,,,,,,,
20161215:1656,0,0,0,8.9,5.06,0,,,,,,,,,,
20161215:1756,0,0,0,8.68,5.2,0,,,,,,,,,,
20161215:1856,0,0,0,8.46,5.34,0,,,,,,,,,,
20161215:1956,0,0,0,8.22,5.17,0,,,,,,,,,,
20161215:2056,0,0,0,7.98,5.01,0,,,,,,,,,,
20161215:2156,0,0,0,7.74,4.84,0,,,,,,,,,,
20161215:2256,0,0,0,7.66,4.53,0,,,,,,,,,,
20161215:2356,0,0,0,7.59,4.23,0,,,,,,,,,,
20161216:0056,0,0,0,7.52,3.92,0,,,,,,,,,,
20161216:0156,0,0,0,7.34,3.68,0,,,,,,,,,,
20161216:0256,0,0,0,7.16,3.44,0,,,,,,,,,,
20161216:0356,0,0,0,6.99,3.2,0,,,,,,,,,,
20161216:0456,0,0,0,6.93,3.03,0,,,,,,,,,,
20161216:0556,0,0,0,6.87,2.87,0,,,,,,,,,,
20161216:0656,0,0,0,6.82,2.7,0,,,,,,,,,,
20161216:0756,0,0,0,7.01,2.57,0,,,,,,,,,,
20161216:0856,155.98,280.764,4.65,7.2,2.44,0,,,,,,,,,,
20161216:0956,68.19,122.742,10.03,7.39,2.3,0,,,,,,,,,,
20161216:1056,64.04,115.272,13.54,7.9,2.54,0,,,,,,,,,,
20161216:1156,44.21,79.578,14.89,8.41,2.78,0,,,,,,,,,,
20161216:1256,237.15,426.87,13.95,8.93,3.02,0,,,,,,,,,,
20161216:1356,74.52,134.136,10.81,8.87,2.41,0,,,,,,,,,,
20161216:1456,175.55,315.99,5.75,8.82,1.81,0,,,,,,,,,,
20161216:1556,0,0,0,8.77,1.2,0,,,,,,,,,,
20161216:1656,0,0,0,8.46,1.23,0,,,,,,,,,,
20161216:1756,0,0,0,8.15,1.26,0,,,,,,,,,,
20161216:1856,0,0,0,7.85,1.3,0,,,,,,,,,,
20161216:1956,0,0,0,7.71,1.43,0,,,,,,,,,,
20161216:2056,0,0,0,7.57,1.57,0,,,,,,,,,,
20161216:2156,0,0,0,7.43,1.71,0,,,,,,,,,,
20161216:2256,0,0,0,7.57,1.87,0,,,,,,,,,,
20161216:2356,0,0,0,7.7,2.03,0,,,,,,,,,,
20161217:0056,0,0,0,7.83,2.19,0,,,,,,,,,,
20161217:0156,0,0,0,7.01,1.97,0,,,,,,,,,,
20161217:0256,0,0,0,6.18,1.74,0,,,,,,,,,,
20161217:0356,0,0,0,5.36,1.52,0,,,,,,,,,,
20161217:0456,0,0,0,5.44,1.46,0,,,,,,,,,,
20161217:0556,0,0,0,5.52,1.4,0,,,,,,,,,,
20161217:0656,0,0,0,5.61,1.34,0,,,,,,,,,,
20161217:0756,0,0,0,5.97,1.15,0,,,,,,,,,,
20161217:0856,37.94,68.292,4.57,6.34,0.97,0,,,,,,,,,,
