"Latitude (decimal degrees):	51.790",,,,,,,,Date,G_i (kW/m),Electric car demand (kWh),Electric bus demand (kWh)
20070109:0856,23.27,4.56,10.08,11.48,0,,,20070109:1856,0,44.50565819,50
20070109:0956,52.89,10.3,10.26,11.52,0,,,20070109:1956,0,31.78975585,50
20070109:1056,47.63,14.23,10.68,11.51,0,,,20070109:2056,0,19.07385351,50
20070109:1156,60.99,16.01,11.11,11.5,0,,,20070109:2156,0,6.35795117,50
20070109:1256,100.38,15.48,11.53,11.49,0,,,20070109:2256,0,0,0
20070109:1356,74.74,12.69,11.52,11.62,0,,,20070109:2356,0,0,0
20070109:1456,48.26,7.9,11.52,11.75,0,,,20070110:0056,0,0,0
20070109:1556,17.43,1.46,11.51,11.88,0,,,20070110:0156,0,0,0
20070109:1656,0,0,11.29,11.51,0,,,20070110:0256,0,0,0
20070109:1756,0,0,11.06,11.14,0,,,20070110:0356,0,0,0
20070109:1856,0,0,10.84,10.77,0,,,20070110:0456,0,0,0
20070109:1956,0,0,10.87,10.9,0,,,20070110:0556,0,0,50
20070109:2056,0,0,10.9,11.03,0,,,20070110:0656,0,9.082787386,50
20070109:2156,0,0,10.93,11.16,0,,,20070110:0756,0,86.28648017,50
20070109:2256,0,0,10.98,10.96,0,,,20070110:0856,0.059749,186.1971414,50
20070109:2356,0,0,11.02,10.75,0,,,20070110:0956,0.062221,240.6938657,50
20070110:0056,0,0,11.07,10.55,0,,,20070110:1056,0.107629,261.5842767,50
20070110:0156,0,0,10.93,10.55,0,,,20070110:1156,0.177166,207.5416918,50
20070110:0256,0,0,10.78,10.54,0,,,20070110:1256,0.137003,137.6042289,50
20070110:0356,0,0,10.63,10.54,0,,,20070110:1356,0.104826,99.45652188,50
20070110:0456,0,0,10.23,10.84,0,,,20070110:1456,0.082844,77.65783215,50
20070110:0556,0,0,9.82,11.14,0,,,20070110:1556,0.012411,67.21262666,50
20070110:0656,0,0,9.41,11.45,0,,,20070110:1656,0,49.95533062,50
20070110:0756,0,0,8.78,10.68,0,,,20070110:1756,0,46.32221567,50
20070110:0856,69.78,4.64,8.15,9.91,0,,,20070110:1856,0,44.50565819,50
20070110:0956,17.72,10.4,7.52,9.14,0,,,20070110:1956,0,31.78975585,50
20070110:1056,50.01,14.35,7.25,8.74,0,,,20070110:2056,0,19.07385351,50
20070110:1156,463.02,16.15,6.98,8.33,0,,,20070110:2156,0,6.35795117,50
20070110:1256,161.69,15.64,6.71,7.92,0,,,20070110:2256,0,0,0
20070110:1356,224.16,12.86,6.62,8.04,0,,,20070110:2356,0,0,0
20070110:1456,122.22,8.07,6.54,8.17,0,,,20070111:0056,0,0,0
20070110:1556,20.98,1.63,6.45,8.29,0,,,20070111:0156,0,0,0
20070110:1656,0,0,5.66,7.5,0,,,20070111:0256,0,0,0
20070110:1756,0,0,4.88,6.72,0,,,20070111:0356,0,0,0
20070110:1856,0,0,4.09,5.93,0,,,20070111:0456,0,0,0
20070110:1956,0,0,3.74,5.71,0,,,20070111:0556,0,0,50
20070110:2056,0,0,3.4,5.48,0,,,20070111:0656,0,9.082787386,50
20070110:2156,0,0,3.06,5.26,0,,,20070111:0756,0,86.28648017,50
20070110:2256,0,0,3.87,6.14,0,,,20070111:0856,0.067244,186.1971414,50
20070110:2356,0,0,4.68,7.02,0,,,20070111:0956,0.127979,240.6938657,50
20070111:0056,0,0,5.49,7.9,0,,,20070111:1056,0.155244,261.5842767,50
20070111:0156,0,0,5.94,9.43,0,,,20070111:1156,0.229254,207.5416918,50
20070111:0256,0,0,6.38,10.96,0,,,20070111:1256,0.16278,137.6042289,50
20070111:0356,0,0,6.82,12.48,0,,,20070111:1356,0.092868,99.45652188,50
20070111:0456,0,0,7.36,12.94,0,,,20070111:1456,0.093592,77.65783215,50
20070111:0556,0,0,7.9,13.39,0,,,20070111:1556,0.013301,67.21262666,50
20070111:0656,0,0,8.44,13.85,0,,,20070111:1656,0,49.95533062,50
20070111:0756,0,0,8.86,13.9,0,,,20070111:1756,0,46.32221567,50
20070111:0856,26.2,4.73,9.29,13.96,0,,,20070111:1856,0,44.50565819,50
20070111:0956,63.37,10.51,9.71,14.01,0,,,20070111:1956,0,31.78975585,50
20070111:1056,45.35,14.48,9.98,14.22,0,,,20070111:2056,0,19.07385351,50
20070111:1156,73.49,16.3,10.25,14.43,0,,,20070111:2156,0,6.35795117,50
20070111:1256,102.01,15.8,10.52,14.63,0,,,20070111:2256,0,0,0
20070111:1356,102.75,13.03,10,13.88,0,,,20070111:2356,0,0,0
20070111:1456,54.61,8.24,9.49,13.13,0,,,20070112:0056,0,0,0
20070111:1556,8.16,1.81,8.97,12.37,0,,,20070112:0156,0,0,0
20070111:1656,0,0,8.73,11.98,0,,,20070112:0256,0,0,0
20070111:1756,0,0,8.48,11.58,0,,,20070112:0356,0,0,0
20070111:1856,0,0,8.24,11.19,0,,,20070112:0456,0,0,0
20070111:1956,0,0,8,10.51,0,,,20070112:0556,0,0,50
20070111:2056,0,0,7.77,9.84,0,,,20070112:0656,0,9.082787386,50
20070111:2156,0,0,7.54,9.17,0,,,20070112:0756,0,86.28648017,50
20070111:2256,0,0,7.37,8.78,0,,,20070112:0856,0.06803,186.1971414,50
20070111:2356,0,0,7.21,8.39,0,,,20070112:0956,0.112188,240.6938657,50
20070112:0056,0,0,7.04,8,0,,,20070112:1056,0.096288,261.5842767,50
20070112:0156,0,0,6.78,7.27,0,,,20070112:1156,0.131037,207.5416918,50
20070112:0256,0,0,6.52,6.55,0,,,20070112:1256,0.113206,137.6042289,50
20070112:0356,0,0,6.25,5.82,0,,,20070112:1356,0.094316,99.45652188,50
20070112:0456,0,0,6.64,6.28,0,,,20070112:1456,0.08046,77.65783215,50
20070112:0556,0,0,7.04,6.74,0,,,20070112:1556,0.011024,67.21262666,50
20070112:0656,0,0,7.43,7.2,0,,,20070112:1656,0,49.95533062,50
20070112:0756,0,0,7.9,7.81,0,,,20070112:1756,0,46.32221567,50
20070112:0856,24.15,4.83,8.37,8.42,0,,,20070112:1856,0,44.50565819,50
20070112:0956,22.05,10.63,8.84,9.03,0,,,20070112:1956,0,31.78975585,50
20070112:1056,86.91,14.62,9.6,9.43,0,,,20070112:2056,0,19.07385351,50
20070112:1156,197.88,16.45,10.36,9.83,0,,,20070112:2156,0,6.35795117,50
20070112:1256,55.94,15.97,11.12,10.23,0,,,20070112:2256,0,0,0
20070112:1356,32.82,13.21,10.95,10.64,0,,,20070112:2356,0,0,0
20070112:1456,9.66,8.42,10.78,11.04,0,,,20070113:0056,0,0,0
20070112:1556,0.97,1.99,10.61,11.45,0,,,20070113:0156,0,0,0
20070112:1656,0,0,10.45,11.18,0,,,20070113:0256,0,0,0
20070112:1756,0,0,10.28,10.91,0,,,20070113:0356,0,0,0
20070112:1856,0,0,10.12,10.65,0,,,20070113:0456,0,0,0
20070112:1956,0,0,10.03,10.16,0,,,20070113:0556,0,0,50
20070112:2056,0,0,9.95,9.67,0,,,20070113:0656,0,9.082787386,50
20070112:2156,0,0,9.87,9.19,0,,,20070113:0756,0,86.28648017,50
20070112:2256,0,0,9.88,8.79,0,,,20070113:0856,0.070467,186.1971414,50
20070112:2356,0,0,9.88,8.4,0,,,20070113:0956,0.164578,240.6938657,50
20070113:0056,0,0,9.89,8,0,,,20070113:1056,0.216379,261.5842767,50
20070113:0156,0,0,9.82,7.7,0,,,20070113:1156,0.215013,207.5416918,50
20070113:0256,0,0,9.74,7.39,0,,,20070113:1256,0.41718,137.6042289,50
20070113:0356,0,0,9.66,7.09,0,,,20070113:1356,0.152434,99.45652188,50
20070113:0456,0,0,9.48,6.86,0,,,20070113:1456,0.118931,77.65783215,50
20070113:0556,0,0,9.3,6.63,0,,,20070113:1556,0.01815,67.21262666,50
20070113:0656,0,0,9.12,6.4,0,,,20070113:1656,0,49.95533062,50
20070113:0756,0,0,9.01,6.6,0,,,20070113:1756,0,46.32221567,50
20070113:0856,22.8,4.94,8.89,6.8,0,,,20070113:1856,0,44.50565819,50
20070113:0956,57.32,10.75,8.78,6.99,0,,,20070113:1956,0,31.78975585,50
20070113:1056,147.26,14.76,9.02,7.57,0,,,20070113:2056,0,19.07385351,50
20070113:1156,75.41,16.62,9.25,8.14,0,,,20070113:2156,0,6.35795117,50
20070113:1256,11.65,16.14,9.49,8.72,0,,,20070113:2256,0,0,0
20070113:1356,36.42,13.39,9.47,9.08,0,,,20070113:2356,0,0,0
20070113:1456,47.17,8.61,9.46,9.43,0,,,20070114:0056,0,0,0
20070113:1556,16.22,2.18,9.44,9.79,0,,,20070114:0156,0,0,0
20070113:1656,0,0,9.44,10.05,0,,,20070114:0256,0,0,0
20070113:1756,0,0,9.43,10.3,0,,,20070114:0356,0,0,0
20070113:1856,0,0,9.43,10.55,0,,,20070114:0456,0,0,0
20070113:1956,0,0,9.1,10.74,0,,,20070114:0556,0,0,50
20070113:2056,0,0,8.77,10.92,0,,,20070114:0656,0,9.082787386,50
20070113:2156,0,0,8.45,11.1,0,,,20070114:0756,0,86.28648017,50
20070113:2256,0,0,7.38,10,0,,,20070114:0856,0.073788,186.1971414,50
20070113:2356,0,0,6.32,8.91,0,,,20070114:0956,0.157011,240.6938657,50
20070114:0056,0,0,5.25,7.81,0,,,20070114:1056,0.227963,261.5842767,50
20070114:0156,0,0,5.17,7.51,0,,,20070114:1156,0.212843,207.5416918,50
20070114:0256,0,0,5.08,7.22,0,,,20070114:1256,0.199108,137.6042289,50
20070114:0356,0,0,4.99,6.92,0,,,20070114:1356,0.185387,99.45652188,50
20070114:0456,0,0,4.56,6.26,0,,,20070114:1456,0.156149,77.65783215,50
20070114:0556,0,0,4.12,5.6,0,,,20070114:1556,0.052809,67.21262666,50
20070114:0656,0,0,3.69,4.94,0,,,20070114:1656,0,49.95533062,50
20070114:0756,0,0,3.49,4.64,0,,,20070114:1756,0,46.32221567,50
20070114:0856,101.97,5.05,3.29,4.34,0,,,20070114:1856,0,44.50565819,50
20070114:0956,206.98,10.89,3.09,4.04,0,,,20070114:1956,0,31.78975585,50
20070114:1056,435.43,14.91,4.46,4.61,0,,,20070114:2056,0,19.07385351,50
20070114:1156,229.42,16.79,5.82,5.17,0,,,20070114:2156,0,6.35795117,50
20070114:1256,160.86,16.33,7.19,5.74,0,,,20070114:2256,0,0,0
20070114:1356,318.32,13.58,7.34,5.67,0,,,20070114:2356,0,0,0
20070114:1456,182.43,8.8,7.49,5.61,0,,,20070115:0056,0,0,0
